label	label2	algorithm	dataset	target_noise	data_group	symbolic_solution_rate_(%)	accuracy_solution	rmse_test	log_mse_test
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_6_15a	0.01	Feynman	0	0	0.079256225464793	0.006261902575828
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_6_15a	0.1	Feynman	0	0	0.056087942200748	0.003140919404513
AFP_0_Feynman	AFP_0	AFP	feynman_II_6_15b	0	Feynman	0	0	0.004649712100297	2.16E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_6_15b	0.001	Feynman	0	0	0.003927021175855	1.54E-05
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_6_15b	0.01	Feynman	0	0	0.005512663731967	3.04E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_6_15b	0.1	Feynman	0	0	0.004897812141483	2.40E-05
AFP_0_Feynman	AFP_0	AFP	feynman_II_8_31	0	Feynman	75	1	0.000758353955877	5.75E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_8_31	0.001	Feynman	60	1	0.000307410034405	9.45E-08
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_8_31	0.01	Feynman	70	1	0.001869629061332	3.50E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_8_31	0.1	Feynman	40	1	0.031227286295501	0.00097466826591
AFP_0_Feynman	AFP_0	AFP	feynman_II_8_7	0	Feynman	12.5	1	0.000867472723952	7.53E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_8_7	0.001	Feynman	10	1	0.001511854923399	2.29E-06
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_8_7	0.01	Feynman	50	1	2.40E-05	5.77E-10
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_8_7	0.1	Feynman	30	1	0.000243667639005	5.94E-08
AFP_0_Feynman	AFP_0	AFP	feynman_I_10_7	0	Feynman	0	1	0.013500410106871	0.000182244465522
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_10_7	0.001	Feynman	0	1	0.018637123538279	0.000347282064384
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_10_7	0.01	Feynman	0	1	0.010824778464189	0.000117168964248
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_10_7	0.1	Feynman	0	1	0.028662930868517	0.000821226307323
AFP_0_Feynman	AFP_0	AFP	feynman_I_11_19	0	Feynman	0	0	1.39098419921373	1.07665192957928
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_11_19	0.001	Feynman	0	0	2.29688443143684	1.83668154155036
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_11_19	0.01	Feynman	0	0	2.05761491636899	1.65513360682182
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_11_19	0.1	Feynman	0	0	1.79482084473211	1.44016253053234
AFP_0_Feynman	AFP_0	AFP	feynman_I_12_1	0	Feynman	100	1	2.13E-15	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_12_1	0.001	Feynman	70	1	2.27E-05	5.15E-10
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_12_1	0.01	Feynman	40	1	0.001452177684502	2.11E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_12_1	0.1	Feynman	70	1	0.003442445145125	1.19E-05
AFP_0_Feynman	AFP_0	AFP	feynman_I_12_11	0	Feynman	25	0	3.04618512497469	2.33012669852932
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_12_11	0.001	Feynman	10	0.5	1.91925135862204	1.54405119756405
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_12_11	0.01	Feynman	10	0	2.21070567922926	1.77278383191138
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_12_11	0.1	Feynman	10	0	2.15756202953065	1.73255317955737
AFP_0_Feynman	AFP_0	AFP	feynman_I_12_2	0	Feynman	12.5	0	0.009250129962732	8.56E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_12_2	0.001	Feynman	10	0	0.004983909341172	2.48E-05
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_12_2	0.01	Feynman	20	0	0.006023087619275	3.63E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_12_2	0.1	Feynman	0	0	0.009606876849134	9.23E-05
AFP_0_Feynman	AFP_0	AFP	feynman_I_12_4	0	Feynman	37.5	1	0.00049478509138	2.45E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_12_4	0.001	Feynman	10	0	0.000902226420194	8.14E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_12_4	0.01	Feynman	20	0	0.000923420050033	8.53E-07
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_12_4	0.1	Feynman	40	1	6.32E-05	4.00E-09
AFP_0_Feynman	AFP_0	AFP	feynman_I_12_5	0	Feynman	100	1	2.13E-15	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_I_12_5	0.001	Feynman	60	1	0.000101301411017	1.03E-08
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_I_12_5	0.01	Feynman	60	1	2.32E-15	0
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_I_12_5	0.1	Feynman	20	1	0.036943558665848	0.00136389599775
AFP_0_Feynman	AFP_0	AFP	feynman_I_13_12	0	Feynman	0	0	2.00136697663049	1.61053126953075
